cod_loja,data_semana_comercial,venda
407,2022-06-05,188
407,2021-05-23,136
406,2021-05-30,926
407,2022-04-03,152
407,2022-07-24,33
407,2021-06-13,63
407,2021-08-29,18
406,2019-08-18,690
406,2017-09-10,82
406,2018-04-08,108
406,2018-05-27,435
406,2017-03-26,67
407,2020-08-23,511
407,2022-01-09,58
406,2021-10-03,226
406,2021-08-22,308
406,2022-04-17,665
406,2022-05-15,1269
406,2018-02-11,80
406,2017-04-30,183
406,2018-06-10,498
406,2019-01-06,115
406,2019-10-06,310
406,2020-05-24,4474
406,2021-09-12,141
407,2021-07-11,53
407,2021-01-03,1
406,2017-07-30,173
406,2017-07-16,155
406,2017-09-03,63
406,2017-10-01,48
406,2019-11-17,487
406,2018-08-05,427
406,2020-11-29,1621
406,2017-01-15,16
406,2018-06-17,325
406,2021-01-31,242
407,2022-04-17,204
407,2021-05-09,169
407,2022-03-27,75
406,2019-01-13,305
406,2019-08-04,1329
406,2019-09-15,416
406,2017-07-09,191
406,2020-12-13,1043
406,2022-04-10,513
407,2021-08-22,8
406,2021-09-05,196
407,2022-06-12,129
406,2021-04-25,1010
407,2022-01-30,47
406,2019-04-21,295
406,2019-12-15,457
406,2020-05-10,2264
407,2020-11-15,85
406,2021-05-09,1578
406,2021-06-13,986
406,2021-03-14,542
407,2021-04-18,245
407,2022-02-06,60
406,2017-07-02,189
406,2017-10-29,113
406,2020-05-17,1987
406,2020-09-13,753
406,2020-08-02,3913
406,2017-02-12,45
407,2020-11-08,27
407,2021-09-26,16
407,2022-07-17,44
406,2019-03-03,389
406,2019-09-08,554
406,2019-06-09,812
406,2019-05-05,341
406,2019-06-30,630
406,2017-11-05,137
406,2018-04-01,72
406,2017-05-07,212
406,2017-07-23,242
406,2019-12-01,863
406,2020-06-07,2946
407,2020-11-22,74
406,2021-01-03,729
406,2021-06-27,889
406,2022-05-08,605
407,2021-04-25,181
407,2021-10-10,92
406,2018-12-09,306
406,2017-04-16,147
406,2018-02-25,223
406,2020-03-15,466
406,2020-02-23,370
406,2020-10-11,1870
406,2017-12-31,4
407,2021-10-17,114
406,2021-10-17,418
406,2021-08-01,1384
407,2021-12-12,58
406,2018-12-16,89
406,2017-10-15,125
406,2020-01-05,247
406,2020-08-09,3953
406,2021-01-17,389
406,2022-05-29,737
406,2021-12-12,247
406,2019-03-24,366
406,2019-01-27,524
406,2017-06-11,116
406,2017-04-23,273
406,2021-11-14,567
407,2020-08-02,235
407,2021-05-30,100
406,2022-03-27,443
407,2021-07-25,77
407,2022-08-07,132
407,2021-12-26,29
406,2017-10-08,188
406,2021-11-07,636
406,2020-05-31,5476
406,2018-11-25,860
406,2018-06-24,215
406,2018-07-08,305
406,2017-03-05,49
406,2020-07-12,4297
407,2020-10-18,93
406,2022-05-01,572
406,2021-10-10,386
407,2021-07-04,69
407,2022-05-15,246
407,2021-06-27,107
407,2022-02-13,51
406,2019-02-10,388
406,2018-04-22,238
406,2020-04-05,562
406,2020-09-06,1114
406,2018-07-01,276
406,2017-01-08,3
406,2021-08-08,671
406,2021-02-07,259
406,2022-02-20,282
406,2021-12-19,231
406,2022-04-03,592
407,2021-08-08,77
406,2019-11-03,337
406,2019-12-08,613
406,2020-01-12,273
406,2020-10-18,1511
406,2020-08-16,4397
407,2020-09-13,45
406,2018-10-21,193
406,2021-02-28,534
406,2022-03-13,500
407,2021-10-31,81
406,2021-09-26,165
407,2022-03-06,59
406,2017-11-12,72
406,2018-04-29,116
406,2020-02-02,487
406,2018-08-19,334
406,2017-01-22,7
406,2021-03-28,387
407,2022-02-27,42
407,2022-07-31,92
407,2022-01-23,26
406,2019-04-14,316
406,2019-07-28,622
406,2019-03-17,487
407,2021-11-21,108
406,2020-12-27,315
407,2020-10-04,28
406,2021-10-31,521
406,2021-07-25,1102
406,2021-03-07,650
406,2021-04-04,748
406,2022-07-17,440
406,2022-01-09,459
406,2022-07-24,548
407,2021-12-19,35
407,2022-08-14,75
407,2021-07-18,64
406,2019-06-23,649
406,2021-11-28,383
406,2021-11-21,642
406,2020-12-20,444
406,2018-12-02,667
407,2020-08-30,167
407,2020-09-20,63
407,2020-09-27,17
407,2021-02-28,240
407,2021-02-07,179
406,2022-08-14,1060
407,2022-05-01,150
406,2019-02-03,346
406,2017-08-27,118
406,2018-04-15,178
406,2018-02-18,121
406,2019-12-22,343
406,2019-12-29,66
406,2020-03-22,540
406,2018-08-26,245
406,2018-09-02,191
406,2020-11-22,1876
406,2021-02-14,279
406,2022-07-31,663
406,2021-10-24,464
407,2021-03-28,82
406,2019-09-22,605
406,2017-05-28,160
406,2017-12-10,44
406,2020-08-23,3505
406,2018-10-14,222
407,2020-10-25,64
407,2021-08-15,77
406,2022-04-24,458
407,2021-10-03,40
407,2021-09-05,11
407,2021-01-24,2
406,2018-12-23,78
406,2020-02-16,344
406,2020-07-05,4851
406,2018-10-28,249
407,2020-11-01,16
406,2021-08-15,341
