,cod_loja,data_semana_comercial,venda,localidade,loja_tamanho,clima
0,58,2021-07-25,51,1,0,3
1,63,2022-05-22,86,1,0,3
2,84,2021-08-01,62,1,0,3
3,2,2022-05-29,171,1,0,5
5,35,2021-08-08,13,1,0,4
6,159,2021-01-17,26,1,2,2
7,157,2022-06-12,70,1,2,4
8,188,2022-06-26,45,1,3,5
9,158,2022-01-02,7,1,2,2
10,142,2022-07-03,22,1,3,2
11,6,2021-04-04,97,1,0,4
12,30,2021-10-10,83,1,1,3
13,260,2021-10-10,2,1,4,3
14,46,2021-04-25,72,1,0,2
15,77,2021-04-25,114,1,2,4
16,360,2021-05-02,61,1,3,3
17,217,2021-05-02,14,1,2,2
18,347,2021-05-09,22,1,4,3
19,278,2021-05-09,56,1,3,3
21,107,2021-05-23,16,1,2,2
22,167,2022-04-03,96,1,2,5
23,103,2021-06-06,84,1,2,5
24,214,2022-04-10,13,1,3,3
25,1,2022-04-10,127,1,0,5
26,376,2021-06-20,18,1,4,5
27,126,2021-06-20,47,1,2,3
28,267,2021-06-20,29,1,2,3
29,287,2021-06-27,13,1,3,2
30,40,2022-04-24,92,1,1,4
31,37,2022-04-24,140,1,1,3
32,196,2021-06-27,91,1,2,4
33,185,2021-06-27,68,1,2,3
34,307,2022-05-01,85,1,2,5
35,47,2021-07-04,101,1,2,4
36,134,2022-05-15,211,1,2,4
37,48,2022-05-15,407,1,0,3
38,230,2022-05-22,49,1,3,3
39,67,2022-05-22,30,1,2,5
40,155,2021-07-25,7,1,2,2
41,119,2022-06-05,103,1,2,5
42,140,2021-08-08,17,1,2,3
43,106,2021-08-08,115,1,0,5
44,205,2021-08-08,18,1,2,2
45,267,2021-08-15,11,1,2,3
46,334,2022-06-12,34,1,3,4
47,350,2021-01-24,3,1,2,3
48,409,2021-09-05,30,2,0,6
49,15,2021-02-21,30,1,2,4
50,136,2022-07-24,27,1,0,2
51,67,2022-08-07,78,1,2,5
52,193,2021-04-25,81,1,2,5
53,418,2021-05-02,95,0,0,0
54,69,2022-03-06,48,1,0,2
55,34,2021-05-16,179,1,0,4
56,1,2022-03-20,116,1,0,5
57,215,2021-05-23,17,1,2,3
59,98,2022-03-27,85,1,0,4
60,224,2021-05-30,36,1,2,3
61,115,2021-05-30,55,1,2,4
62,96,2021-06-06,35,1,2,3
63,113,2021-06-20,78,1,2,4
64,92,2022-05-15,165,1,1,4
65,236,2022-05-15,61,1,2,3
66,294,2022-05-22,35,1,2,4
67,42,2021-07-25,72,1,3,4
68,282,2022-05-29,11,1,4,3
69,409,2021-08-08,78,2,0,6
70,312,2022-06-19,34,1,2,5
71,155,2021-09-05,15,1,2,2
72,210,2022-07-10,34,1,2,5
73,268,2021-03-07,13,1,2,4
74,146,2022-01-23,39,1,0,2
75,9,2021-04-04,49,1,2,5
76,263,2021-04-11,26,1,2,2
77,397,2022-08-07,25,1,3,5
78,160,2021-04-18,59,1,3,5
79,192,2022-02-20,26,1,2,4
80,68,2022-02-27,23,1,2,5
81,187,2021-05-09,94,1,2,4
82,181,2021-05-16,83,1,2,4
83,196,2021-05-16,108,1,2,4
84,155,2022-03-13,23,1,2,2
85,36,2021-05-16,80,1,0,4
86,199,2022-03-20,16,1,3,4
87,17,2021-05-30,137,1,2,5
88,149,2021-06-06,157,1,1,4
89,88,2022-04-10,50,1,0,2
90,95,2021-06-13,52,1,2,3
91,195,2021-06-13,18,1,3,3
92,1,2022-04-24,82,1,0,5
93,12,2021-07-04,100,1,0,5
94,303,2021-07-04,47,1,2,5
95,11,2022-05-15,91,1,2,5
96,68,2021-07-18,90,1,2,5
97,420,2021-07-18,90,0,0,0
98,12,2021-07-25,112,1,0,5
99,150,2021-07-25,66,1,0,3
100,52,2021-07-25,50,1,2,3
101,299,2022-06-12,86,1,2,3
102,192,2022-07-10,44,1,2,4
103,72,2021-02-28,35,1,0,2
104,55,2022-07-24,36,1,0,4
105,417,2021-04-18,63,0,0,0
106,75,2021-04-25,47,1,2,3
107,48,2022-08-21,18,1,0,3
108,38,2022-08-21,29,1,1,3
109,393,2022-02-27,3,1,4,3
110,129,2021-05-02,71,1,3,5
111,178,2021-05-09,16,1,2,2
112,113,2021-05-23,49,1,2,4
113,408,2022-03-27,94,2,0,6
114,82,2021-05-30,92,1,2,4
115,212,2022-03-27,13,1,3,3
116,92,2022-04-03,122,1,1,4
117,59,2021-06-13,85,1,2,3
118,205,2022-04-10,28,1,2,2
119,24,2021-06-20,68,1,3,4
120,152,2022-04-17,38,1,3,3
121,37,2021-06-20,163,1,1,3
122,28,2021-07-04,135,1,0,3
