cod_loja,venda,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,lag1,lag2,lag3,pred,APE,MAPE
406,1001,6,3,8,2022,240,28,34,,,,130.81807,86.93126179240681,0.3617634136082001
406,1149,6,3,9,2022,247,4,35,1001.0,,,495.60513,56.866393989848504,0.3617634136082001
406,1160,6,3,9,2022,254,11,36,1149.0,1001.0,,557.7887,51.91476756128771,0.3617634136082001
406,1197,6,3,9,2022,261,18,37,1160.0,1149.0,1001.0,1100.846,8.032920027934418,0.3617634136082001
406,1164,6,3,9,2022,268,25,38,1197.0,1160.0,1149.0,942.70056,19.011979250563787,0.3617634136082001
406,870,6,4,10,2022,275,2,39,1164.0,1197.0,1160.0,662.1634,23.889265389278016,0.3617634136082001
406,721,6,4,10,2022,282,9,40,870.0,1164.0,1197.0,753.1289,4.456158980582525,0.3617634136082001
406,492,6,4,10,2022,289,16,41,721.0,870.0,1164.0,680.4753,38.30798389465828,0.3617634136082001
407,57,6,3,8,2022,240,28,34,,,,107.07592,87.85249141224644,2.5264122644332856
407,95,6,3,9,2022,247,4,35,57.0,,,116.29445,22.41520931846217,2.5264122644332856
407,72,6,3,9,2022,254,11,36,95.0,57.0,,120.676765,67.60661866929796,2.5264122644332856
407,68,6,3,9,2022,261,18,37,72.0,95.0,57.0,86.19664,26.759764727424173,2.5264122644332856
407,67,6,3,9,2022,268,25,38,68.0,72.0,95.0,111.95675,67.09962531701842,2.5264122644332856
407,38,6,4,10,2022,275,2,39,67.0,68.0,72.0,110.935165,191.93464580335115,2.5264122644332856
407,25,6,4,10,2022,282,9,40,38.0,67.0,68.0,112.133,348.5320129394531,2.5264122644332856
407,7,6,4,10,2022,289,16,41,25.0,38.0,67.0,91.62506,1208.929443359375,2.5264122644332856
