,cod_loja,data_semana_comercial,venda
4,407,2022-06-05,188
20,407,2021-05-23,136
58,406,2021-05-30,926
150,407,2022-04-03,152
253,407,2022-07-24,33
260,407,2021-06-13,63
482,407,2021-08-29,18
730,406,2019-08-18,690
863,406,2017-09-10,82
1053,406,2018-04-08,108
1126,406,2018-05-27,435
1768,406,2017-03-26,67
1934,407,2020-08-23,511
2814,407,2022-01-09,58
2841,406,2021-10-03,226
2867,406,2021-08-22,308
2966,406,2022-04-17,665
2972,406,2022-05-15,1269
3711,406,2018-02-11,80
3760,406,2017-04-30,183
3895,406,2018-06-10,498
4214,406,2019-01-06,115
4365,406,2019-10-06,310
4498,406,2020-05-24,4474
5778,406,2021-09-12,141
5934,407,2021-07-11,53
6300,407,2021-01-03,1
6565,406,2017-07-30,173
6707,406,2017-07-16,155
6728,406,2017-09-03,63
6776,406,2017-10-01,48
7202,406,2019-11-17,487
7563,406,2018-08-05,427
7601,406,2020-11-29,1621
7667,406,2017-01-15,16
7670,406,2018-06-17,325
8567,406,2021-01-31,242
8664,407,2022-04-17,204
8682,407,2021-05-09,169
8907,407,2022-03-27,75
9234,406,2019-01-13,305
9258,406,2019-08-04,1329
9332,406,2019-09-15,416
9472,406,2017-07-09,191
10459,406,2020-12-13,1043
11304,406,2022-04-10,513
11355,407,2021-08-22,8
11356,406,2021-09-05,196
11384,407,2022-06-12,129
11435,406,2021-04-25,1010
11650,407,2022-01-30,47
12070,406,2019-04-21,295
12713,406,2019-12-15,457
12940,406,2020-05-10,2264
13344,407,2020-11-15,85
14007,406,2021-05-09,1578
14013,406,2021-06-13,986
14064,406,2021-03-14,542
14135,407,2021-04-18,245
14205,407,2022-02-06,60
14889,406,2017-07-02,189
15135,406,2017-10-29,113
15664,406,2020-05-17,1987
15888,406,2020-09-13,753
15902,406,2020-08-02,3913
15971,406,2017-02-12,45
16067,407,2020-11-08,27
17167,407,2021-09-26,16
17179,407,2022-07-17,44
17499,406,2019-03-03,389
17520,406,2019-09-08,554
17552,406,2019-06-09,812
17564,406,2019-05-05,341
17579,406,2019-06-30,630
17633,406,2017-11-05,137
17639,406,2018-04-01,72
17661,406,2017-05-07,212
17780,406,2017-07-23,242
18298,406,2019-12-01,863
18506,406,2020-06-07,2946
18727,407,2020-11-22,74
19600,406,2021-01-03,729
19626,406,2021-06-27,889
19629,406,2022-05-08,605
19672,407,2021-04-25,181
19968,407,2021-10-10,92
20291,406,2018-12-09,306
20344,406,2017-04-16,147
20395,406,2018-02-25,223
21223,406,2020-03-15,466
21237,406,2020-02-23,370
21446,406,2020-10-11,1870
22301,407,2021-10-17,114
22390,406,2021-10-17,418
22411,406,2021-08-01,1384
22892,407,2021-12-12,58
23146,406,2018-12-16,89
23346,406,2017-10-15,125
23837,406,2020-01-05,247
24159,406,2020-08-09,3953
25115,406,2021-01-17,389
25211,406,2022-05-29,737
25245,406,2021-12-12,247
25896,406,2019-03-24,366
25963,406,2019-01-27,524
26033,406,2017-06-11,116
26109,406,2017-04-23,273
26788,406,2021-11-14,567
26981,407,2020-08-02,235
27955,407,2021-05-30,100
28057,406,2022-03-27,443
28142,407,2021-07-25,77
28295,407,2022-08-07,132
28397,407,2021-12-26,29
28751,406,2017-10-08,188
29496,406,2021-11-07,636
29526,406,2020-05-31,5476
29710,406,2018-11-25,860
29714,406,2018-06-24,215
29729,406,2018-07-08,305
29741,406,2017-03-05,49
29745,406,2020-07-12,4297
29972,407,2020-10-18,93
30673,406,2022-05-01,572
30715,406,2021-10-10,386
30799,407,2021-07-04,69
30803,407,2022-05-15,246
30855,407,2021-06-27,107
30882,407,2022-02-13,51
31359,406,2019-02-10,388
31480,406,2018-04-22,238
32326,406,2020-04-05,562
32426,406,2020-09-06,1114
32617,406,2018-07-01,276
32686,406,2017-01-08,3
33366,406,2021-08-08,671
33406,406,2021-02-07,259
33455,406,2022-02-20,282
33476,406,2021-12-19,231
33493,406,2022-04-03,592
33516,407,2021-08-08,77
34871,406,2019-11-03,337
34887,406,2019-12-08,613
35086,406,2020-01-12,273
35212,406,2020-10-18,1511
35223,406,2020-08-16,4397
35275,407,2020-09-13,45
35456,406,2018-10-21,193
36160,406,2021-02-28,534
36213,406,2022-03-13,500
36248,407,2021-10-31,81
36281,406,2021-09-26,165
36395,407,2022-03-06,59
37199,406,2017-11-12,72
37230,406,2018-04-29,116
37958,406,2020-02-02,487
38201,406,2018-08-19,334
38204,406,2017-01-22,7
39037,406,2021-03-28,387
39090,407,2022-02-27,42
39213,407,2022-07-31,92
39638,407,2022-01-23,26
39806,406,2019-04-14,316
39833,406,2019-07-28,622
39852,406,2019-03-17,487
40678,407,2021-11-21,108
40910,406,2020-12-27,315
41300,407,2020-10-04,28
41788,406,2021-10-31,521
41877,406,2021-07-25,1102
41887,406,2021-03-07,650
41891,406,2021-04-04,748
41923,406,2022-07-17,440
41955,406,2022-01-09,459
41958,406,2022-07-24,548
41982,407,2021-12-19,35
42027,407,2022-08-14,75
42176,407,2021-07-18,64
42549,406,2019-06-23,649
43465,406,2021-11-28,383
43475,406,2021-11-21,642
43703,406,2020-12-20,444
43709,406,2018-12-02,667
43779,407,2020-08-30,167
43886,407,2020-09-20,63
44141,407,2020-09-27,17
44606,407,2021-02-28,240
44643,407,2021-02-07,179
44776,406,2022-08-14,1060
44951,407,2022-05-01,150
45407,406,2019-02-03,346
45477,406,2017-08-27,118
45481,406,2018-04-15,178
45605,406,2018-02-18,121
46190,406,2019-12-22,343
46359,406,2020-03-22,540
46554,406,2018-08-26,245
46597,406,2018-09-02,191
46603,406,2020-11-22,1876
47516,406,2021-02-14,279
47520,406,2022-07-31,663
47526,406,2021-10-24,464
47558,407,2021-03-28,82
48289,406,2019-09-22,605
48314,406,2017-05-28,160
48320,406,2017-12-10,44
49369,406,2020-08-23,3505
49440,406,2018-10-14,222
49569,407,2020-10-25,64
50400,407,2021-08-15,77
50423,406,2022-04-24,458
50478,407,2021-10-03,40
50767,407,2021-09-05,11
51005,407,2021-01-24,2
51627,406,2018-12-23,78
52052,406,2020-02-16,344
52236,406,2020-07-05,4851
52278,406,2018-10-28,249
52448,407,2020-11-01,16
53163,406,2021-08-15,341
53186,407,2021-08-01,144
53260,407,2021-03-14,166
53301,407,2022-01-02,39
53736,407,2021-01-17,7
53928,406,2019-08-11,719
53930,406,2019-09-01,586
54087,406,2017-11-26,181
54093,406,2018-05-13,286
54549,406,2018-12-30,105
54709,406,2019-10-27,180
54862,406,2020-01-19,414
54887,406,2020-03-01,683
54897,406,2017-03-12,61
55024,406,2020-06-28,5034
55049,406,2020-07-26,5362
55071,406,2018-11-11,426
55973,406,2022-06-26,440
55975,406,2022-01-02,238
56052,406,2021-05-02,1279
56715,406,2019-04-28,312
56785,406,2019-06-16,480
56834,406,2017-10-22,95
56934,406,2018-05-20,510
56966,406,2017-08-06,148
56994,406,2017-06-04,169
57248,406,2019-05-12,639
57463,406,2019-10-13,300
57565,406,2017-02-19,38
57652,406,2020-06-14,3003
57690,406,2017-02-26,45
57889,407,2020-11-29,79
58807,406,2022-01-23,167
59551,406,2019-06-02,1010
59707,406,2017-06-25,78
59712,406,2017-12-03,61
60493,406,2020-11-08,2297
60502,406,2017-01-01,18
60569,406,2018-08-12,427
60580,407,2020-10-11,53
61118,407,2020-12-20,2
61513,406,2021-06-06,785
62153,406,2019-08-25,632
63058,407,2021-11-14,124
63098,406,2020-03-29,757
63169,406,2020-04-19,687
63378,406,2018-09-09,238
63597,407,2020-08-09,196
64239,407,2022-03-20,130
64266,406,2021-02-21,369
64627,407,2022-01-16,29
65011,406,2019-05-19,838
65877,406,2020-03-08,426
66054,406,2020-12-06,2032
66068,406,2018-07-22,288
66133,406,2020-09-20,744
66289,407,2020-07-19,74
66947,406,2021-04-18,998
67054,406,2022-08-21,925
67079,406,2022-07-03,555
67102,407,2022-05-29,266
67106,406,2022-06-19,489
67219,407,2022-08-21,68
67730,406,2019-07-07,1078
67823,406,2018-02-04,57
67899,406,2018-03-18,107
67988,406,2017-09-17,91
67992,406,2018-03-25,108
68010,406,2018-01-21,11
68460,406,2019-11-24,1136
68764,406,2020-10-04,2028
68802,406,2020-10-25,1727
68910,407,2020-12-06,29
69745,406,2021-01-10,788
69811,406,2021-08-29,215
69817,406,2021-09-19,157
69858,406,2021-04-11,871
69870,407,2021-06-06,50
69874,406,2021-07-11,987
70563,406,2019-03-31,363
71253,406,2019-09-29,268
71593,406,2018-09-30,167
72622,406,2021-05-23,1113
72673,407,2022-05-08,202
72764,406,2021-12-26,141
