item,cod_loja,semana_comercial,data_semana_comercial,venda,categoria_loja,localidade,loja_tamanho,clima
100342,26,202235,2022-08-28,91,fisica,br,G,SPO
100342,206,202235,2022-08-28,33,fisica,br,M,SPO
100342,180,202235,2022-08-28,18,fisica,br,P,SPO
100342,407,202235,2022-08-28,57,web,br,GG,W
100342,411,202236,2022-09-04,50,fisica,uy,G,URU
100342,141,202235,2022-08-28,22,fisica,br,M,SPO
100342,278,202236,2022-09-04,15,fisica,br,P,RIO
100342,193,202236,2022-09-04,26,fisica,br,M,SUL
100342,192,202236,2022-09-04,27,fisica,br,M,SPO
100342,105,202236,2022-09-04,28,fisica,br,M,RIO
100342,60,202236,2022-09-04,53,fisica,br,GG,SPO
100342,379,202235,2022-08-28,20,fisica,br,PP,SUL
100342,266,202235,2022-08-28,9,fisica,br,M,SUL
100342,51,202235,2022-08-28,37,fisica,br,M,RIO
100342,30,202235,2022-08-28,44,fisica,br,GG,RIO
100342,163,202236,2022-09-04,19,fisica,br,M,SPO
100342,120,202236,2022-09-04,6,fisica,br,M,NOR
100342,183,202236,2022-09-04,4,fisica,br,M,NOR
100342,98,202236,2022-09-04,47,fisica,br,G,SPO
100342,60,202235,2022-08-28,30,fisica,br,GG,SPO
100342,415,202235,2022-08-28,56,fisica,uy,G,URU
100342,21,202235,2022-08-28,86,fisica,br,G,SPO
100342,134,202235,2022-08-28,19,fisica,br,M,SPO
100342,196,202236,2022-09-04,60,fisica,br,M,SPO
100342,43,202236,2022-09-04,44,fisica,br,M,SPO
100342,8,202235,2022-08-28,12,fisica,br,P,SUL
100342,397,202235,2022-08-28,17,fisica,br,P,SUL
100342,163,202235,2022-08-28,20,fisica,br,M,SPO
100342,106,202236,2022-09-04,69,fisica,br,G,SUL
100342,184,202236,2022-09-04,61,fisica,br,G,SPO
100342,68,202235,2022-08-28,42,fisica,br,M,SUL
100342,66,202236,2022-09-04,8,fisica,br,M,NOR
100342,397,202236,2022-09-04,8,fisica,br,P,SUL
100342,342,202236,2022-09-04,26,fisica,br,P,SPO
